no,company,type,title,date,url
1,Maruti Suzuki,BSE_PDF,Q1 FY27 results filing (quarter ended 30 Jun 2026),2026-07-31,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f940c992-b7af-4b96-82cd-07efd0cf4234.pdf
2,Maruti Suzuki,BSE_PDF,Q4 FY26 results and Rs 140/share dividend press release,2026-04-28,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b8ced1ab-d385-4f8c-bcc9-90a186b40275.pdf
3,Maruti Suzuki,BSE_PDF,e-Vitara BEV commencement-of-sales announcement,2026-02-17,https://www.bseindia.com/xml-data/corpfiling/AttachHis/85167ba4-b3e9-485f-af7e-25c783ef6cd0.pdf
4,Maruti Suzuki,BSE_PDF,Monthly production and sales figures (August 2026),2026-09-01,https://www.bseindia.com/xml-data/corpfiling/AttachHis/03ddb22e-47f6-4fc4-b955-de39681a5327.pdf
5,Maruti Suzuki,YOUTUBE,RC Bhargava (Chairman) on Q4 results and FY27 strategy,2026-04,https://www.youtube.com/watch?v=ZWIYiGa7QGc
6,Infosys,BSE_PDF,Q1 FY27 results press release (quarter ended 30 Jun 2026),2026-07-23,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7d7cfaa4-20c8-4f5d-9b95-06c285d91895.pdf
7,Infosys,BSE_PDF,CEO succession announcement (Ashiss Kumar Dash named CEO Designate),2026-07-23,https://www.bseindia.com/xml-data/corpfiling/AttachHis/95f8af86-dc92-49dc-a7cf-ecce287f8cce.pdf
8,Infosys,BSE_PDF,Five-year collaboration with smart Europe GmbH announcement,2026,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ece903c6-a4b5-4877-b3af-71069290fa69.pdf
9,Infosys,YOUTUBE,Salil Parekh (CEO) on Q1 earnings - exit and AI growth strategy,2026-07,https://www.youtube.com/watch?v=Q9_FgLWmbuU
10,Infosys,YOUTUBE,Salil Parekh CNBC-TV18 exclusive on the future of Indian IT,2026-08,https://www.youtube.com/watch?v=ch6n3i4Xz6w
